# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  7 13:30:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_metratio,st_lum,rastr,ra,decstr,dec
Kepler-1268 b,Kepler-1268,40.99039860,0.238300,2.030,4.78000,0.000000,40.65,627,,5904.00,1.09,[Fe/H],0.345,19h11m21.22s,287.8384190,+43d09m11.44s,43.1531776
Kepler-1269 b,Kepler-1269,37.33315360,0.226000,1.630,3.29000,0.000000,69.00,657,,5998.00,1.15,[Fe/H],0.556,19h11m13.33s,287.8055442,+45d20m25.93s,45.3405371
Kepler-127 b,Kepler-127,14.43588900,0.125000,1.400,2.54000,0.470000,159.16,884,,6106.00,1.36,[M/H],0.407,19h00m45.59s,285.1899439,+46d01m41.01s,46.0280596
Kepler-127 c,Kepler-127,29.39319500,0.200000,2.660,7.56000,0.030000,61.69,698,,6106.00,1.36,[M/H],0.407,19h00m45.59s,285.1899439,+46d01m41.01s,46.0280596
Kepler-127 d,Kepler-127,48.63040800,0.280000,2.640,7.46000,0.030000,31.52,590,,6106.00,1.36,[M/H],0.407,19h00m45.59s,285.1899439,+46d01m41.01s,46.0280596
Kepler-1270 b,Kepler-1270,6.03356196,0.066300,3.320,11.00000,0.000000,1217.39,1598,,5047.00,3.38,[Fe/H],0.713,19h06m51.76s,286.7156676,+48d38m42.92s,48.6452552
Kepler-1271 b,Kepler-1271,3.02559550,0.041800,1.480,2.79000,0.000000,975.18,1484,,6143.00,1.23,[Fe/H],0.219,19h05m22.63s,286.3442954,+37d24m42.96s,37.4119347
Kepler-1272 b,Kepler-1272,51.13097040,0.270500,2.370,6.21000,0.000000,34.43,542,,5926.00,1.09,[Fe/H],0.370,19h00m52.74s,285.2197605,+38d48m21.02s,38.8058393
Kepler-1273 b,Kepler-1273,28.62565300,0.185700,2.490,6.76000,0.000000,14.88,573,,5566.00,0.91,[Fe/H],-0.305,19h03m12.77s,285.8032016,+44d52m24.23s,44.8733983
Kepler-1274 b,Kepler-1274,6.98152703,0.080600,1.420,2.60000,0.000000,975.81,1384,,6179.00,2.17,[Fe/H],0.798,18h58m22.48s,284.5936858,+46d26m59.05s,46.4497364
Kepler-1275 b,Kepler-1275,3.65691115,0.048800,1.480,2.79000,0.000000,822.48,1368,,6296.00,1.36,[Fe/H],0.315,19h34m00.12s,293.5004955,+44d55m56.80s,44.9324455
Kepler-1276 b,Kepler-1276,12.57200950,0.107200,1.190,1.81000,0.000000,139.77,886,,6188.00,1.21,[Fe/H],0.220,19h11m25.68s,287.8570173,+40d32m49.89s,40.5471909
Kepler-1277 b,Kepler-1277,40.83650120,0.223700,1.600,3.19000,0.000000,12.11,496,,5578.00,0.92,[Fe/H],-0.199,19h40m24.60s,295.1025166,+40d34m20.54s,40.5723736
Kepler-1278 b,Kepler-1278,3.23941344,0.041900,1.010,1.01000,0.000000,1314.67,1213,,6074.00,1.16,[Fe/H],0.366,18h51m49.66s,282.9569197,+42d49m32.01s,42.8255589
Kepler-1279 b,Kepler-1279,23.47741010,0.163300,1.750,3.71000,0.000000,190.85,738,,6221.00,1.33,[Fe/H],0.693,19h12m22.94s,288.0955917,+40d21m57.27s,40.3659090
Kepler-128 b,Kepler-128,15.09000000,0.123100,1.430,0.77000,0.000000,227.40,968,,6136.00,1.61,[Fe/H],0.575,18h49m58.14s,282.4922622,+43d58m48.88s,43.9802442
Kepler-128 c,Kepler-128,22.80400000,0.162200,1.340,0.90000,0.000000,130.98,843,,6136.00,1.61,[Fe/H],0.575,18h49m58.14s,282.4922622,+43d58m48.88s,43.9802442
Kepler-1280 b,Kepler-1280,66.55790570,0.380000,1.870,4.16000,0.000000,35.29,757,,6227.00,1.32,[Fe/H],0.679,19h34m17.73s,293.5738933,+45d23m04.17s,45.3844919
Kepler-1281 b,Kepler-1281,3.11602791,0.041500,1.640,3.33000,0.000000,375.55,1123,,5353.00,0.83,[Fe/H],-0.292,19h41m25.05s,295.3543571,+48d30m55.42s,48.5153932
Kepler-1282 b,Kepler-1282,2.13194651,0.033500,1.550,3.02000,0.000000,672.53,1418,,5504.00,0.89,[Fe/H],-0.183,19h20m42.28s,290.1761688,+46d41m53.89s,46.6983036
Kepler-1283 b,Kepler-1283,12.94609780,0.106200,1.910,4.31000,0.000000,80.34,764,,6175.00,1.25,[Fe/H],0.927,19h41m50.96s,295.4623336,+40d46m36.96s,40.7769335
Kepler-1284 b,Kepler-1284,0.66407381,0.014300,1.210,1.92000,0.000000,2190.08,1703,,5123.00,0.79,[Fe/H],-0.395,19h25m06.95s,291.2789549,+47d41m15.28s,47.6875766
Kepler-1285 b,Kepler-1285,14.79674580,0.126800,0.970,0.87100,0.000000,181.59,874,,6170.00,1.28,[Fe/H],0.481,18h47m20.48s,281.8353366,+44d09m21.18s,44.1558825
Kepler-1286 b,Kepler-1286,11.25402929,0.099100,2.150,5.27000,0.000000,151.77,888,,5753.00,0.98,[Fe/H],0.128,18h41m02.01s,280.2583709,+43d50m08.68s,43.8357433
Kepler-1287 b,Kepler-1287,11.47685909,0.097600,1.540,2.99000,0.000000,78.16,796,,5715.00,0.94,[Fe/H],-0.091,19h16m32.31s,289.1346298,+47d03m46.86s,47.0630180
Kepler-1288 b,Kepler-1288,2.76122421,0.043500,1.120,1.46000,0.000000,3906.36,2017,,6132.00,1.29,[Fe/H],0.302,19h02m51.24s,285.7135000,+41d36m21.17s,41.6058799
Kepler-1289 b,Kepler-1289,7.99019627,0.078500,1.520,2.92000,0.000000,223.44,1113,,6080.00,1.17,[Fe/H],0.160,19h45m33.30s,296.3887670,+41d02m25.83s,41.0405090
Kepler-129 b,Kepler-129,15.79000000,0.130000,2.400,20.00000,0.010000,158.31,910,G4 V,5770.00,1.65,[Fe/H],0.464,19h01m14.68s,285.3111845,+47d50m54.52s,47.8484775
Kepler-129 c,Kepler-129,82.20000000,0.390000,2.520,43.00000,0.200000,17.55,525,G4 V,5770.00,1.65,[Fe/H],0.464,19h01m14.68s,285.3111845,+47d50m54.52s,47.8484775
Kepler-129 d,Kepler-129,2646.00000000,4.000000,12.600,2637.97578,0.150000,,,G4 V,5770.00,1.65,[Fe/H],0.454,19h01m14.68s,285.3111845,+47d50m54.52s,47.8484775
Kepler-1290 b,Kepler-1290,4.69500134,0.055700,1.420,2.60000,0.000000,443.22,1098,,5660.00,0.93,[Fe/H],0.069,19h22m44.45s,290.6852287,+43d51m34.62s,43.8596155
Kepler-1291 b,Kepler-1291,8.63043276,0.077900,1.660,3.39000,0.000000,62.82,739,,5216.00,0.80,[Fe/H],-0.467,19h17m30.48s,289.3770051,+40d00m03.88s,40.0010791
Kepler-1292 b,Kepler-1292,3.27646405,0.044300,1.820,3.97000,0.000000,521.10,1195,,5556.00,0.93,[Fe/H],-0.091,18h59m37.37s,284.9057222,+43d56m56.92s,43.9491434
Kepler-1293 b,Kepler-1293,5.57654784,0.065900,0.970,0.87100,0.000000,929.12,1183,,6241.00,1.28,[Fe/H],0.604,19h20m06.21s,290.0258783,+48d20m09.32s,48.3359227
Kepler-1294 b,Kepler-1294,115.68622580,0.468400,3.190,10.30000,0.000000,12.36,401,,5776.00,0.97,[Fe/H],0.421,19h25m04.34s,291.2681037,+44d29m17.38s,44.4881624
Kepler-1295 b,Kepler-1295,3.81371974,0.046400,1.550,3.02000,0.000000,279.94,1029,,5486.00,0.89,[Fe/H],-0.283,19h25m35.48s,291.3978451,+45d35m18.79s,45.5885530
Kepler-1296 b,Kepler-1296,8.38398650,0.089600,0.910,0.69300,0.000000,399.01,1285,,5359.00,0.83,[Fe/H],0.486,19h28m30.02s,292.1251038,+41d24m28.05s,41.4077928
Kepler-1297 b,Kepler-1297,1.68189002,0.028300,0.970,0.87100,0.000000,2760.59,1790,,5818.00,0.99,[Fe/H],0.302,19h19m49.55s,289.9564415,+47d01m13.25s,47.0203466
Kepler-1298 b,Kepler-1298,7.12811928,0.082000,1.310,2.27000,0.000000,1003.03,1373,,6339.00,2.00,[Fe/H],0.840,18h57m41.46s,284.4227535,+49d06m22.29s,49.1061907
Kepler-1299 b,Kepler-1299,19.94008740,0.135700,2.980,9.17000,0.000000,45.15,588,,5609.00,0.91,[Fe/H],-0.106,19h04m36.03s,286.1501263,+37d24m40.84s,37.4113438
Kepler-130 b,Kepler-130,8.45745800,0.079000,1.020,1.04000,0.150000,221.73,982,,5884.00,1.13,[M/H],0.198,19h13m48.14s,288.4505905,+40d14m42.72s,40.2452006
Kepler-130 c,Kepler-130,27.50868000,0.178000,2.900,8.75000,0.000000,46.01,683,,5879.00,1.17,[Fe/H],0.155,19h13m48.14s,288.4505905,+40d14m42.72s,40.2452006
Kepler-130 d,Kepler-130,87.51790500,0.377000,1.640,3.33000,0.800000,9.83,451,,5884.00,1.13,[M/H],0.198,19h13m48.14s,288.4505905,+40d14m42.72s,40.2452006
Kepler-1300 b,Kepler-1300,22.24190920,0.165500,1.370,2.45000,0.000000,149.41,954,,6130.00,1.79,[Fe/H],0.636,19h16m07.93s,289.0330532,+40d05m12.91s,40.0869182
Kepler-1301 b,Kepler-1301,9.08237046,0.081500,1.400,2.54000,0.000000,76.14,734,,5188.00,0.81,[Fe/H],-0.346,19h06m25.00s,286.6041816,+42d26m25.19s,42.4403309
Kepler-1302 b,Kepler-1302,8.83922659,0.079500,1.430,2.63000,0.000000,58.34,778,,5236.00,0.82,[Fe/H],-0.467,19h23m57.42s,290.9892462,+50d18m29.03s,50.3080640
Kepler-1303 b,Kepler-1303,7.56127224,0.075100,1.420,2.60000,0.000000,182.38,891,,5771.00,1.00,[Fe/H],-0.002,18h57m08.92s,284.2871470,+42d21m20.08s,42.3555784
Kepler-1304 b,Kepler-1304,16.12888530,0.120200,2.290,5.86000,0.000000,61.87,715,,5259.00,0.81,[Fe/H],0.639,19h01m06.33s,285.2763652,+39d26m48.58s,39.4468274
Kepler-1305 b,Kepler-1305,13.56309720,0.110900,1.880,4.19000,0.000000,103.51,733,,5701.00,0.96,[Fe/H],0.084,19h49m21.47s,297.3394624,+46d20m49.98s,46.3472165
Kepler-1306 b,Kepler-1306,16.29595382,0.123000,1.910,4.31000,0.000000,52.15,678,,5727.00,0.97,[Fe/H],-0.063,19h37m54.81s,294.4783627,+46d56m45.11s,46.9458638
Kepler-1307 b,Kepler-1307,18.01621096,0.136900,2.470,6.66000,0.000000,41.19,768,,5884.00,1.08,[Fe/H],-0.205,19h31m28.76s,292.8698348,+46d44m30.72s,46.7418679
Kepler-1308 b,Kepler-1308,2.10433812,0.025000,0.520,0.09330,0.000000,58.11,662,,3468.00,0.34,[Fe/H],-1.503,19h03m42.90s,285.9287514,+38d31m14.55s,38.5207097
Kepler-1309 b,Kepler-1309,28.84326470,0.167900,2.370,6.21000,0.000000,13.77,491,,5235.00,0.80,[Fe/H],-0.603,19h54m56.43s,298.7351131,+40d45m50.85s,40.7641262
Kepler-131 b,Kepler-131,16.09200000,0.123800,2.410,16.13000,0.000000,66.12,718,,5685.00,1.03,[Fe/H],0.022,19h14m07.41s,288.5308924,+40d56m32.54s,40.9423730
Kepler-131 c,Kepler-131,25.51690000,0.168400,0.840,8.25000,0.000000,35.74,615,,5685.00,1.03,[Fe/H],0.022,19h14m07.41s,288.5308924,+40d56m32.54s,40.9423730
Kepler-1310 b,Kepler-1310,0.67933627,0.014800,1.440,2.67000,0.000000,2830.91,1883,,5549.00,0.88,[Fe/H],-0.192,18h55m40.81s,283.9200236,+40d44m24.15s,40.7400419
Kepler-1311 b,Kepler-1311,11.17269940,0.098900,1.240,2.07000,0.000000,296.92,1019,,5748.00,1.40,[Fe/H],0.472,19h18m36.30s,289.6512597,+43d49m28.00s,43.8244445
Kepler-1311 c,Kepler-1311,2.53573424,0.036800,1.220,1.98000,0.000000,2144.55,1671,,5748.00,1.40,[Fe/H],0.472,19h18m36.30s,289.6512597,+43d49m28.00s,43.8244445
Kepler-1311 d,Kepler-1311,197.51100160,0.671100,9.658,67.50000,0.000000,5.54,391,,5616.00,1.67,[Fe/H],0.472,19h18m36.30s,289.6512597,+43d49m28.00s,43.8244445
Kepler-1312 b,Kepler-1312,5.44832529,0.060300,2.100,5.06000,0.000000,219.12,978,,5719.00,0.92,[Fe/H],-0.099,19h31m53.11s,292.9712801,+41d02m08.70s,41.0357494
Kepler-1312 c,Kepler-1312,1.11611998,0.020900,1.027,1.07000,0.000000,1797.63,1659,,5721.00,0.91,[Fe/H],-0.099,19h31m53.11s,292.9712801,+41d02m08.70s,41.0357494
Kepler-1313 b,Kepler-1313,3.83309118,0.046000,1.760,3.75000,0.000000,227.20,1012,,5453.00,0.85,[Fe/H],-0.325,19h29m33.26s,292.3885820,+42d13m59.80s,42.2332767
Kepler-1314 b,Kepler-1314,5.42474928,0.050400,5.110,22.90000,0.000000,36.05,625,,4188.00,0.59,[Fe/H],-1.891,19h36m56.97s,294.2373599,+45d11m48.58s,45.1968274
Kepler-1315 b,Kepler-1315,0.84338011,0.016300,1.380,2.48000,0.000000,897.90,1541,,4861.00,0.75,[Fe/H],-0.628,19h43m17.18s,295.8215678,+46d03m11.00s,46.0530562
Kepler-1315 c,Kepler-1315,6.56606007,0.064000,1.844,4.06000,0.000000,86.27,777,,4818.00,0.86,[Fe/H],-0.628,19h43m17.18s,295.8215678,+46d03m11.00s,46.0530562
Kepler-1316 b,Kepler-1316,87.97321360,0.385900,3.540,12.30000,0.000000,10.71,446,,5884.00,1.12,[Fe/H],0.253,19h55m20.60s,298.8358277,+40d17m35.06s,40.2930714
Kepler-1317 b,Kepler-1317,0.56887443,0.012800,1.560,3.05000,0.000000,2413.26,1796,,5144.00,0.79,[Fe/H],-0.414,19h26m26.85s,291.6118842,+42d06m57.52s,42.1159787
Kepler-1318 b,Kepler-1318,213.25766300,0.608500,3.110,9.85000,0.000000,0.49,202,,4598.00,0.70,[Fe/H],-0.730,19h21m30.32s,290.3763246,+41d09m02.85s,41.1507928
Kepler-1319 b,Kepler-1319,2.88676265,0.029600,1.340,2.36000,0.330000,38.45,557,,3655.00,0.54,[Fe/H],-1.457,19h23m49.55s,290.9564463,+49d22m00.46s,49.3667933
Kepler-132 b,Kepler-132,6.17819600,0.067000,1.210,1.92000,0.000000,292.35,1082,,6003.00,1.18,[M/H],0.211,18h52m56.59s,283.2358100,+41d20m34.93s,41.3430370
Kepler-132 c,Kepler-132,6.41491400,0.068000,1.280,2.18000,0.000000,278.29,1069,,6003.00,1.18,[M/H],0.211,18h52m56.59s,283.2358100,+41d20m34.93s,41.3430370
Kepler-132 d,Kepler-132,18.01019900,0.136000,1.550,3.02000,0.000000,70.21,758,,6003.00,1.18,[M/H],0.211,18h52m56.59s,283.2358100,+41d20m34.93s,41.3430370
Kepler-132 e,Kepler-132,110.28693740,0.439300,1.180,1.76000,0.000000,6.27,414,,6023.00,1.10,[Fe/H],0.211,18h52m56.59s,283.2358100,+41d20m34.93s,41.3430370
Kepler-1320 b,Kepler-1320,0.86838653,0.016300,1.700,3.53000,0.000000,672.11,1389,,4817.00,0.74,[Fe/H],-0.729,19h13m44.06s,288.4335977,+40d22m51.07s,40.3808519
Kepler-1321 b,Kepler-1321,11.12830484,0.078100,4.920,21.50000,0.000000,13.55,408,,4094.00,0.53,[Fe/H],-0.862,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737
Kepler-1321 c,Kepler-1321,2.22649109,0.026700,2.400,6.35000,0.000000,115.91,697,,4094.00,0.53,[Fe/H],-0.862,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737
Kepler-1321 d,Kepler-1321,5.72092009,0.050100,2.628,7.41000,0.000000,15.84,509,,3640.00,0.50,[Fe/H],-0.862,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737
Kepler-1322 b,Kepler-1322,0.96286738,0.018300,1.610,3.22000,0.000000,2651.42,1666,,5488.00,0.87,[Fe/H],-0.101,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919
Kepler-1322 c,Kepler-1322,6.45998001,0.065200,2.155,5.29000,0.000000,144.06,883,,5704.00,0.80,[Fe/H],-0.101,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919
Kepler-1323 b,Kepler-1323,0.92990668,0.019100,1.520,2.92000,0.000000,5067.60,2291,,6169.00,1.40,[Fe/H],0.295,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290
Kepler-1324 b,Kepler-1324,4.11584468,0.046600,1.510,2.89000,0.000000,98.41,895,,4776.00,0.73,[Fe/H],-0.673,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023
Kepler-1325 b,Kepler-1325,33.87868380,0.200400,2.860,8.55000,0.000000,18.15,564,,5550.00,0.91,[Fe/H],-0.136,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120
Kepler-1326 b,Kepler-1326,42.35142670,0.274300,4.180,16.30000,0.000000,47.84,938,,6725.00,1.74,[Fe/H],0.523,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420
Kepler-1327 b,Kepler-1327,14.88801098,0.118600,1.800,3.89000,0.000000,112.85,831,,5885.00,1.03,[Fe/H],0.036,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183
Kepler-1328 b,Kepler-1328,4.52158888,0.052900,0.980,0.90400,0.000000,545.67,1214,,5780.00,0.99,[Fe/H],0.228,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225
Kepler-1329 b,Kepler-1329,9.33646594,0.074700,2.170,5.35000,0.000000,26.64,577,,4500.00,0.69,[Fe/H],-0.771,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523
Kepler-133 b,Kepler-133,8.12997600,0.083000,1.760,3.75000,0.000000,408.58,1041,,5736.00,1.43,[M/H],0.410,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542
Kepler-133 c,Kepler-133,31.51758600,0.204000,2.840,8.45000,0.000000,67.16,663,,5736.00,1.43,[M/H],0.410,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542
Kepler-1330 b,Kepler-1330,10.10769068,0.088900,1.650,3.36000,0.000000,322.40,879,,5608.00,0.94,[Fe/H],0.426,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913
Kepler-1331 b,Kepler-1331,0.78916165,0.014200,1.050,1.16000,0.000000,547.29,1244,,4508.00,0.69,[Fe/H],-0.909,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613
Kepler-1332 b,Kepler-1332,11.87456832,0.098600,1.370,2.45000,0.000000,77.56,728,,5581.00,0.90,[Fe/H],-0.137,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055
Kepler-1333 b,Kepler-1333,109.64718420,0.438200,2.810,8.30000,0.000000,3.30,428,,5628.00,0.92,[Fe/H],-0.188,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940
Kepler-1334 b,Kepler-1334,15.64591713,0.122900,2.290,5.86000,0.000000,78.36,710,,5614.00,0.91,[Fe/H],0.028,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059
Kepler-1335 b,Kepler-1335,6.26406846,0.061500,1.450,2.70000,0.000000,80.74,809,,4903.00,0.74,[Fe/H],-0.555,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371
Kepler-1336 b,Kepler-1336,23.19868100,0.159500,1.980,4.58000,0.000000,103.72,793,,5512.00,1.30,[Fe/H],0.421,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006
Kepler-1336 c,Kepler-1336,5.77721211,0.063100,1.710,3.57000,0.000000,662.71,1260,,5512.00,1.30,[Fe/H],0.421,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006
Kepler-1337 b,Kepler-1337,24.40025490,0.144100,2.410,6.39000,0.000000,9.18,437,,4523.00,0.67,[Fe/H],-0.742,19h08m02.19s,287.0091176,+46d47m46.04s,46.7961229
Kepler-1338 b,Kepler-1338,0.93511806,0.019300,0.920,0.72100,0.000000,4712.11,2124,,5909.00,1.05,[Fe/H],0.247,18h56m10.14s,284.0422701,+41d41m56.53s,41.6990348
Kepler-1339 b,Kepler-1339,1.34155513,0.023400,0.710,0.28500,0.000000,3094.82,1642,,5586.00,0.93,[Fe/H],0.188,18h54m58.98s,283.7457695,+48d22m24.49s,48.3734690
Kepler-134 b,Kepler-134,5.31742900,0.060000,2.000,4.66000,0.000000,301.37,1105,,5983.00,1.18,[M/H],0.061,18h58m57.39s,284.7391156,+49d35m54.40s,49.5984448
Kepler-134 c,Kepler-134,10.10578500,0.092000,1.260,2.13000,0.000000,128.09,892,,5983.00,1.18,[M/H],0.061,18h58m57.39s,284.7391156,+49d35m54.40s,49.5984448
Kepler-1340 b,Kepler-1340,0.66502692,0.015300,1.550,3.02000,0.000000,4793.00,2174,,6331.00,1.42,[Fe/H],0.087,19h44m55.87s,296.2328099,+42d28m22.07s,42.4727965
Kepler-1341 b,Kepler-1341,132.99683220,0.449800,2.990,9.22000,0.000000,1.14,241,,4662.00,0.72,[Fe/H],-0.638,18h42m02.80s,280.5116813,+44d09m33.66s,44.1593503
Kepler-1342 b,Kepler-1342,2.21571036,0.031300,1.660,3.39000,0.000000,559.27,1283,,5527.00,0.90,[Fe/H],-0.261,19h48m04.81s,297.0200549,+43d25m57.14s,43.4325382
Kepler-1343 b,Kepler-1343,3.35183158,0.044900,1.930,4.38000,0.000000,1021.90,1294,,5759.00,0.93,[Fe/H],0.195,19h37m10.68s,294.2944830,+50d43m31.39s,50.7253850
Kepler-1344 b,Kepler-1344,4.76830490,0.056800,1.840,4.04000,0.000000,425.17,1219,,5981.00,1.13,[Fe/H],0.146,19h08m20.71s,287.0862799,+46d56m44.88s,46.9457998
Kepler-1345 b,Kepler-1345,44.61695570,0.263800,2.360,6.17000,0.000000,68.47,693,,6449.00,1.55,[Fe/H],0.693,19h29m54.71s,292.4779428,+46d01m22.16s,46.0228210
Kepler-1346 b,Kepler-1346,3.40165668,0.044000,1.580,3.12000,0.000000,545.58,1236,,6133.00,1.21,[Fe/H],-0.008,19h27m21.92s,291.8413410,+45d10m45.07s,45.1791850
Kepler-1347 b,Kepler-1347,14.00947528,0.104000,1.030,1.08000,0.000000,34.32,617,,5193.00,0.79,[Fe/H],-0.388,19h58m38.30s,299.6595903,+40d50m37.87s,40.8438526
Kepler-1348 b,Kepler-1348,27.57227420,0.183400,1.940,4.42000,0.000000,49.66,636,,5911.00,1.04,[Fe/H],0.204,19h28m20.98s,292.0874126,+49d47m19.35s,49.7887090
Kepler-1349 b,Kepler-1349,2.12823928,0.034100,0.700,0.27100,0.000000,1862.33,1668,,6086.00,1.28,[Fe/H],0.343,19h05m21.25s,286.3385562,+48d44m39.37s,48.7442697
Kepler-135 b,Kepler-135,6.00253000,0.067000,1.810,3.93000,0.000000,496.68,1209,,6090.00,1.27,[M/H],0.448,19h21m58.82s,290.4950939,+38d47m43.78s,38.7954956
Kepler-135 c,Kepler-135,11.44870800,0.103000,1.160,1.65000,0.000000,209.97,975,,6090.00,1.27,[M/H],0.448,19h21m58.82s,290.4950939,+38d47m43.78s,38.7954956
Kepler-1350 b,Kepler-1350,4.49686040,0.041300,2.520,6.90000,0.000000,27.18,535,,3827.00,0.53,[Fe/H],-1.283,19h13m00.15s,288.2506110,+46d40m46.14s,46.6794847
Kepler-1350 c,Kepler-1350,1.76678906,0.022200,1.730,3.64000,0.000000,94.05,730,,3827.00,0.53,[Fe/H],-1.283,19h13m00.15s,288.2506110,+46d40m46.14s,46.6794847
Kepler-1351 b,Kepler-1351,0.91614077,0.015600,0.650,0.20800,0.000000,421.96,1212,,4439.00,0.67,[Fe/H],-0.983,19h34m26.02s,293.6084289,+42d11m52.35s,42.1978746
Kepler-1352 b,Kepler-1352,1.87788275,0.030000,0.890,0.64000,0.000000,1892.59,1701,,6118.00,1.16,[Fe/H],0.263,19h22m46.51s,290.6937988,+48d42m05.19s,48.7014417
Kepler-1353 b,Kepler-1353,24.75439660,0.153000,1.800,3.89000,0.000000,10.77,491,,4776.00,0.72,[Fe/H],-0.615,19h42m56.49s,295.7353911,+42d34m34.43s,42.5762317
Kepler-1354 b,Kepler-1354,76.61337700,0.352100,2.970,9.11000,0.000000,18.86,466,,6168.00,1.24,[Fe/H],0.302,19h24m58.83s,291.2451266,+37d45m32.43s,37.7590079
Kepler-1355 b,Kepler-1355,1.28958811,0.022400,1.460,2.73000,0.000000,944.87,1448,,5352.00,0.83,[Fe/H],-0.329,18h54m57.94s,283.7414249,+49d04m04.74s,49.0679833
Kepler-1356 b,Kepler-1356,0.63400294,0.013600,1.530,2.96000,0.000000,1966.06,1714,,5106.00,0.78,[Fe/H],-0.486,19h23m58.89s,290.9953825,+43d14m37.97s,43.2438792
Kepler-1357 b,Kepler-1357,3.00913240,0.041000,1.280,2.18000,0.000000,449.98,1177,,5597.00,0.90,[Fe/H],-0.146,19h26m11.54s,291.5480665,+50d21m11.73s,50.3532584
Kepler-1358 b,Kepler-1358,7.06317341,0.065600,1.120,1.46000,0.000000,98.83,827,,5181.00,0.79,[Fe/H],-0.413,19h04m40.93s,286.1705469,+43d00m32.04s,43.0089000
Kepler-1359 b,Kepler-1359,59.49709520,0.276900,2.830,8.40000,0.000000,2.45,369,,4709.00,0.72,[Fe/H],-0.717,19h18m09.32s,289.5388180,+41d53m34.14s,41.8928154
Kepler-136 b,Kepler-136,11.57890000,0.106000,2.050,19.80000,0.000000,257.98,951,,6165.00,1.35,[M/H],0.467,19h45m52.15s,296.4673039,+42d35m55.67s,42.5987984
Kepler-136 c,Kepler-136,16.39923500,0.133000,1.990,4.62000,0.000000,162.04,847,,6165.00,1.35,[M/H],0.467,19h45m52.15s,296.4673039,+42d35m55.67s,42.5987984
Kepler-1360 b,Kepler-1360,40.52864130,0.286600,3.400,11.50000,0.000000,82.56,933,,6778.00,1.83,[Fe/H],0.923,20h01m22.57s,300.3440482,+45d37m23.46s,45.6231826
Kepler-1361 b,Kepler-1361,3.57554956,0.043100,0.860,0.56600,0.000000,186.07,1061,,5131.00,0.79,[Fe/H],-0.437,18h54m15.69s,283.5653603,+46d54m15.22s,46.9042278
Kepler-1362 b,Kepler-1362,136.20562600,0.462600,2.600,7.27000,0.000000,1.01,248,,4857.00,0.74,[Fe/H],-0.601,19h14m09.25s,288.5385574,+40d52m37.66s,40.8771276
Kepler-1363 b,Kepler-1363,2.94194094,0.036300,1.250,2.10000,0.000000,191.92,988,,4839.00,0.72,[Fe/H],-0.626,19h47m59.16s,296.9964872,+49d15m22.76s,49.2563228
Kepler-1364 b,Kepler-1364,13.32196237,0.128400,2.150,5.27000,0.000000,672.06,1299,,6805.00,1.79,[Fe/H],0.792,19h40m36.51s,295.1521334,+49d35m15.42s,49.5876179
